k, n, w, order, insertion, removal
128, 16384, 32, random, 272218, 593036
128, 16384, 32, reverse, 262130, 577611
128, 16384, 32, sorted, 587614, 553055
128, 4096, 32, random, 67830, 142052
128, 4096, 32, reverse, 65522, 141119
128, 4096, 32, sorted, 145246, 136607
128, 6144, 32, random, 101969, 217167
128, 6144, 32, reverse, 98290, 213871
128, 6144, 32, sorted, 218974, 206015
128, 8192, 32, random, 136007, 291542
128, 8192, 32, reverse, 131058, 286623
128, 8192, 32, sorted, 292702, 275423
